"source_id","table","title","url","status_code","ok","issue","fix_applied","new_url","red_team_verdict","checked_date"
"src-groton-harris-ledyard","Source","","https://allthingsliberty.com/2021/09/colonel-william-ledyard-fort-griswold/","404","false","","true","https://allthingsliberty.com/2016/03/anything-but-monotonous-nine-months-of-garrison-duty-at-fort-griswold/","","2026-07-07"
"src-groton-jordan-african-american","Source","","https://connecticuthistory.org/african-americans-at-fort-griswold/","404","false","","true","https://revolutionarywarjournal.com/african-americans-in-the-american-revolution-jordan-freeman-dies-defending-fort-griswold/","","2026-07-07"
"src-groton-wikipedia","Source","","https://en.wikipedia.org/wiki/Battle_of_Groton_Heights","200","true","","","","","2026-07-07"
"src-groton-visitgroton","Source","","https://www.groton-ct.gov/","200","true","","","","","2026-07-07"
"src-danbury-continental-congress-resolve","Source","Continental Congress Resolution on the Danbury Raid, May 1777","https://memory.loc.gov/ammem/amlaw/lwjc.html","403","true","bot-blocked","","","ISSUE","2026-07-07"
"src-danbury-nps-ridgefield","Source","","https://www.keelertavernmuseum.org/","200","true","","","","","2026-07-07"
"src-danbury-connecticut-state-archives-1777","Source","Connecticut Council of Safety Records: April-May 1777","https://portal.ct.gov/SOTS/Collection-Detail-Pages/State-Archives","200","false","redirects to homepage","true","https://libguides.ctstatelibrary.org/hg/militaryrecords/revwar","ISSUE","2026-07-07"
"src-danbury-ridgefield-hist-soc","Source","","https://www.ridgefieldhistoricalsociety.org/","200","true","","","","","2026-07-07"
"src-danbury-museum","Source","","https://www.danburymuseum.org/","200","true","","","","","2026-07-07"
"src-newport-nps-rochambeau","Source","","https://www.nps.gov/roc/index.htm","404","false","","true","https://www.nps.gov/waro/","","2026-07-07"
"src-newport-preservation-society","Source","","https://www.newportmansions.org/","200","true","","","","","2026-07-07"
"src-newport-rihs-collections","Source","","https://www.rihs.org/","200","true","","","","","2026-07-07"
"src-newport-wikipedia-rochambeau","Source","","https://en.wikipedia.org/wiki/Rochambeau","200","true","","","","","2026-07-07"
"src-newport-discover-newport","Source","","https://www.discovernewport.org/","200","true","","","","","2026-07-07"
"src-providence-gaspee-testimony","Source","Proceedings of the Gaspee Commission, 1772-1773","https://www.sos.ri.gov/divisions/Archival/archives","200","false","redirects to homepage","true","https://sosri.access.preservica.com/uncategorized/SO_ad412bed-2274-4bd6-8013-1d9994900096/","ISSUE","2026-07-07"
"src-providence-nps-gaspee","Source","","https://www.nps.gov/articles/gaspee.htm","404","false","","true","https://www.nps.gov/articles/000/providence-tea-party.htm","","2026-07-07"
"cmpauk49m000hm35wx01gpvxd","Source","","https://founders.archives.gov/documents/Washington/03-31-02-0415","202","true","","","","","2026-07-07"
"src-danbury-visitdanbury","Source","","https://www.danbury.org/","0","false","connection error","true","https://danburymuseum.org/danbury-history-in-brief","","2026-07-07"
"src-newport-rochambeau-journal","Source","Journal de la Campagne en Amérique (Rochambeau's Campaign Journal)","https://www.loc.gov/item/2021667630/","403","true","bot-blocked","","","INACCESSIBLE","2026-07-07"
"cmpaumc2y000mm35w4j7lyvig","Source","","https://encyclopediavirginia.org/entries/the-virginia-revolutionary-conventions-1774-1776/","200","true","","","","","2026-07-07"
"src-providence-providence-preservation","Source","","https://www.ppsri.org/","200","true","","","","","2026-07-07"
"src-providence-wikipedia-gaspee","Source","","https://en.wikipedia.org/wiki/Gaspee_affair","200","true","","","","","2026-07-07"
"src-providence-visitprovidence","Source","","https://www.goprovidence.com/","200","true","","","","","2026-07-07"
"src-portsmouth-langdon-papers","Source","John Langdon Papers, 1775-1819","https://www.nhhistory.org/","200","true","","","","ISSUE","2026-07-07"
"src-portsmouth-continental-congress-navy","Source","Journals of the Continental Congress: Naval Committee Records, 1775-1776","https://memory.loc.gov/ammem/amlaw/lwjc.html","403","true","bot-blocked","","","ISSUE","2026-07-07"
"src-portsmouth-nps-strawbery-banke","Source","","https://www.strawberybanke.org/","200","true","","","","","2026-07-07"
"src-portsmouth-nh-division-records","Source","","https://www.nh.gov/nhdhr/","403","true","bot-blocked","","","","2026-07-07"
"src-portsmouth-paul-jones-house","Source","","https://portsmouthhistory.org/","200","true","","","","","2026-07-07"
"src-portsmouth-wikipedia","Source","","https://en.wikipedia.org/wiki/Portsmouth,_New_Hampshire","200","true","","","","","2026-07-07"
"src-portsmouth-visit-tourism","Source","","https://www.portsmouthnh.com/","200","true","","","","","2026-07-07"
"cmpf4xxjd000mez88dqoo18xw","Source","","https://www.nps.gov/places/parker-s-revenge.htm","200","true","","","","","2026-07-07"
"src-providence-rihs-revolution","Source","","https://www.rihs.org/","200","true","","","","","2026-07-07"
"cmpf4xxjq000pez8831rvq50k","Source","","https://www.nps.gov/people/prince-estabrook-of-lexington.htm","200","true","","","","","2026-07-07"
